username,chat,emotion,toxicity
emjaycee#ASTRO, BABAE PALA KAYA PALA BOBO,anger,sexism
Liyan #AX1A, babaeng top frag top sa kama,happy,sexism
guiche#lorum, bading,disgust,sexism
keyleeeee#00001, bading,happy,sexism
Tap #0000, BADING KA BA?,anger,sexism
Naoki #0704, baiter,anger,Blaming others
amity#ars, baiter,disgust,cyberbullying
Alysay#1004, baiter,anger,Blaming others
Markehfi #del, baiter amp,anger,Blaming others
ilovesummer#ily, bakit ang bobo mo maglaro?,anger,MM complaints
keyleeeee#00001, bakla,disgust,sexism
DZADDY #TWICE, bakla ka,anger,sexism
PandaBaby #BABY, bano,happy,cyberbullying
keyleeeee#00001, bano,anger,cyberbullying
p1ssbulbol #pogi (sorry po sa inappropriate name), bano ka,anger,cyberbullying
Abystigma#TRUTH, barks,happy,cyberbullying
DN NEMO#PEKOO, basically anything when vibing,neutral,not toxic
Calamacakes#cakes, basta madami pa,neutral,not toxic
PandaBaby #BABY, basura,anger,Blaming others
SCE Sphynx#tin, BASURA AMPUTA (note: Naka laptop lang ako kaya ma lag 🥺),anger,Blaming others
Kagome#BigPP, bat pa nag lalaro,anger,Gamesplaining
gaelcii , bawal ang babae sa valo. ,neutral,sexism
paupau#5534, Bawi,sad,not toxic
Essseine#9769, Bawi lang,sad,not toxic
Xanthia#lei, bawi na lang,sad,not toxic
Akira#jig, bawi nalang,sad,not toxic
CHRONOS #MICHY, bawi next game,sad,not toxic
klee#teya, bawi next half,sad,not toxic
mart1ne#0801, bawi next round,neutral,not toxic
Yummy hotdog #tomeh, bawi next round,neutral,not toxic
RAGING T1TE !vamos, bawi next round,sad,not toxic
nvrgonletudown #cali, bawi next round,sad,not toxic
Amehrys #HARU , bawi next round,sad,not toxic
Luciofix#chase, bawi second half,happy,not toxic
indophenol#blue, bawi tayo,happy,not toxic
Miwa#0710, bawi tayo,happy,not toxic
Player1#2110, bawi tayo,happy,not toxic
Daga #mouse, bawi tayo,sad,not toxic
IV of Fade #OPM, bawi tayo,sad,not toxic
Eris#akuma, bayan ang low na di mo pa natamanan bobo mo,anger,cyberbullying
PandaBaby #BABY, bayot,sad,cyberbullying
Scrix#9697, BBBB,anger,cyberbullying
GUYS Kensh1n #xenim, Beast,happy,not toxic
Giyu#SLYR, behind you,neutral,not toxic
Isumi Tachiii #mpty, belt,neutral,not toxic
GT BLACKSHEEP #TOW, benta ko 'tong laro bobo ka naman,anger,Gamesplaining
Szakki#szaki, best aim,happy,not toxic
R3DMATRIX#0609, better,happy,not toxic
chewu#LRRY, better (agent) wins.,happy,not toxic
Stratøm#KBand, better luck next round,happy,not toxic
SSunday#nocap, bhenchod,anger,sexism
0, big brain,happy,not toxic
Berith#TWICE, bigat niyo,anger,MM complaints
i 8 his chicken#dark, bilhan mo nalang ako baril wag ka na bumili di ka naman marunong,anger,not toxic
DaBoMi#mob1, bilis,anger,not toxic
iskay #0525, binubully ang mga LGBT and mga babae,neutral,sexism
PD Jblazeer#lui, bisakol,anger,racism
Hamburger#pls, bisakol,anger,racism
RAAALD #3685, bisakol,anger,racism
haru#riee, bisaya,anger,racism
Jeeeeeelly #Ace, bisaya ka tang ina,anger,racism
Jeeeeeelly #Ace, bisdak ampota,anger,MM complaints
14th Element#6250, bitch,anger,sexism
vyn#rei, bitch,anger,sexism
Psychedelic #kohi, bitch,anger,sexism
Aiko#0425, bitch,anger,sexism
keyleeeee#00001, bl,surprise,not toxic
fishybench#6069, black,disgust,racism
vic sotto#EXSNT, blind,neutral,not toxic
Chinokate#2505, blinded,happy,not toxic
14th Element#6250, bobo,anger,cyberbullying
Chanx#1010, bobo,anger,cyberbullying
klee#teya, bobo,disgust,cyberbullying
C8H11NO2#007, bobo,disgust,cyberbullying
Mitochondria#isthe, bobo,happy,cyberbullying
chou tzuyu #6523, bobo,happy,cyberbullying
shiro#chrls, bobo,anger,cyberbullying
iroh#haha, bobo,happy,cyberbullying
神Yaboku#Yato, bobo,happy,cyberbullying
Allymaranthine#0916, bobo,disgust,cyberbullying
i miss him#7887, bobo,disgust,cyberbullying
Essseine#9769, Bobo,surprise,cyberbullying
Johnny Saints#2001, bobo,anger,cyberbullying
Bjorn Ironside #nice, bobo,anger,cyberbullying
rein #yara, bobo,anger,cyberbullying
Boozy#182, Bobo,anger,cyberbullying
DaBoMi#mob1, bobo,anger,cyberbullying
ASTRID#MVP, bobo,anger,cyberbullying
Aoki #xyr, bobo,anger,cyberbullying
ten#1975, bobo,anger,cyberbullying
SUPA H0T FIRE #6969, bobo,anger,cyberbullying
bitWise#OPRTR, bobo,anger,cyberbullying
Oreo#kbnjl, bobo,happy,cyberbullying
SSPH 麗直#715, Bobo,anger,cyberbullying
AysKreme#MVRA, bobo,anger,cyberbullying
Pikayuls#GEAR, bobo,anger,cyberbullying
Lotus#sugar, bobo,anger,cyberbullying
Manang Grasiya#1106, bobo,anger,cyberbullying
TiP#0101, bobo,anger,cyberbullying
Lexgetit #LJC, bobo,surprise,cyberbullying
CRZY Sundae #Sweet, bobo,disgust,cyberbullying
Bossy Baby #LUSHY, bobo,anger,cyberbullying
caly #cutie, bobo,anger,cyberbullying
Santino#6684, bobo,anger,cyberbullying
TBE Whack#cutie, bobo,anger,cyberbullying
Sheesh Escudero #Tene, bobo,anger,cyberbullying
bagal #3250, bobo,anger,cyberbullying
OGD ToxicRadius#Toxic, bobo,anger,cyberbullying
Zero Sevet #NOCAP, bobo,anger,cyberbullying
amity#ars, bobo,anger,cyberbullying
Zzero0#2485, bobo,anger,cyberbullying
Yoon Bum#505, bobo ,anger,cyberbullying
calcifer#cruui, bobo amp,anger,cyberbullying
Road#0020, bobo and anything offensive.,anger,cyberbullying
Abystigma#TRUTH, bobo ka,anger,cyberbullying
Shanice#111, bobo ka,anger,cyberbullying
DanaSoslar#abbie, bobo ka,disgust,cyberbullying
artem1s #LUNA, bobo ka *agent*,disgust,cyberbullying
YoreL#LeroY, bobo ka ba,disgust,cyberbullying
Asclepius #danic, bobo mo,disgust,cyberbullying
Inés #xiao, bobo mo,disgust,cyberbullying
GEORGINA #RG28, bobo mo,disgust,cyberbullying
DZADDY #TWICE, bobo mo,disgust,cyberbullying
Daniel Pamilya #4694, bobo mo,disgust,cyberbullying
McDanolds#Coke, Bobo mo,anger,cyberbullying
ram #0412, bobo mo,anger,cyberbullying
hanibiiiii#9999, bobo mo,anger,cyberbullying
BBG chicken#jen, bobo mo,anger,cyberbullying
Seiji#B0nk, bobo mo,disgust,cyberbullying
Amira #CCCCC, bobo mo,disgust,cyberbullying
Leni Rebrimstone#yssa, Bobo Mo,disgust,cyberbullying
guiche#lorum, bobo mo,disgust,cyberbullying
McDanolds#Coke, Bobo mo amputa,anger,cyberbullying
Sleazex#RAKK, bobo mo naman,anger,cyberbullying
ONIG#nani, bobo mo naman,anger,cyberbullying
My Spinach Puffs #kronk, bobo mo reyna,anger,cyberbullying
Jeeeeeelly #Ace, bobo mong animal ka,anger,cyberbullying
chimken nagets #jeyzz, bobo mong babae ka,anger,sexism
TBE Whack#cutie, bobo mong babae ka,disgust,sexism
Jeeeeeelly #Ace, bobo na walang tutok,disgust,cyberbullying
juice#1015, bobo naman nito,anger,MM complaints
Calmpath #9409, bobo ng *insert name*,anger,MM complaints
Omalabs #9245, bobo ng kasama/kalaban,anger,MM complaints
chimken nagets #jeyzz, bobo ng nanay mo,anger,cyberbullying
Claive Haine#ori, Bobo si KJ,anger,MM complaints
indophenol#blue, bobo tumira,anger,cyberbullying
Kuraidu #yAah, Bobo/Idiot,anger,cyberbullying
Stratøm#KBand, boom Facebook ka muna,disgust,cyberbullying
SULLENESS#diu2, boosted,sad,EBR complaints
chewu#LRRY, boosted,sad,EBR complaints
Yuta #2934, boosted,anger,EBR complaints
Marius#9310, boosted,disgust,EBR complaints
haru#riee, boosted,anger,EBR complaints
Dooby #babi, boosted,disgust,EBR complaints
sve#10969, boosted,disgust,EBR complaints
Moth #layt, BOOSTED,anger,EBR complaints
Kazu#12345, boosted amputah,anger,EBR complaints
kyo#yel, boring,sad,RNG complaints
amity#ars, boses kargador,disgust,cyberbullying
pheyb #ajn, bot frag amp,anger,cyberbullying
Saeko#Caius, botfrag,happy,cyberbullying
Hamburger#pls, boy pisonet,disgust,ageism
SCE Hades #Riz, brain dead,anger,cyberbullying
Marius#9310, brain dead,disgust,cyberbullying
KPY Eru #001, brain dead,disgust,cyberbullying
Kuraidu #yAah, Brain dead,anger,cyberbullying
sujin #9488, braindead,anger,cyberbullying
ray4c#1103, braindead,anger,cyberbullying
Yuta #2934, bro carry me pls,sad,not toxic
TWICE Dahyun#MDAA, bro WTF is that,surprise,RNG complaints
TBE Whack#cutie, bro you baited me,anger,Blaming others
pol#9715, bro you're so bad,disgust,RNG complaints
chewu#LRRY, bulag,disgust,ableism
klee#teya, bulok,disgust,cyberbullying
clementine #KAIS, bulok,disgust,cyberbullying
RoDe0#69420, bulok ampota,anger,cyberbullying
rein #yara, bulok.,anger,cyberbullying
SULLENESS#diu2, but just normal ingame comms usually,neutral,not toxic
rein #yara," but on the toxicity side:
Ang hina mo gago",anger,cyberbullying
TRB Chimkemn #star, bwaka nang ina mo,anger,cyberbullying
Phoxsap#2223, c,neutral,not toxic
shobe#hykw, c tayo,neutral,not toxic
Yoshsaturn#1130, can I add u? U seem like a good person :D. ,happy,not toxic
Manang Grasiya#1106, Can I add you on discord?,happy,not toxic
0, Can I borrow skin?,happy,not toxic
shobe#hykw, can i have (skin name) vandal,happy,not toxic
nakamoto yuta#127, can i have skin,neutral,not toxic
Nazzzzz #0503, Can u add me cuz I like your humor and Can u joice our dc because im happy teammate with u,happy,not toxic
b00tyhub #666, can u carry me,happy,not toxic
Shinsquared#2020, can u drop me,happy,not toxic
shobe#hykw, can u drop me (agent name),neutral,not toxic
shobe#hykw, can u heal me sage/skye?,neutral,not toxic
jidi #ritze, can we be friends,neutral,not toxic
NRX Jae eon#999, can we come together,happy,not toxic
shobe#hykw, can we play together?,happy,not toxic
TRB Chimkemn #star, cancer ka,anger,cyberbullying
1NK#BFRAG, cant remember the rest,neutral,not toxic
KPY Eru #001, cao nima,anger,cyberbullying
metach#CXQG, care flank,sad,not toxic
calcifer#cruui, careful a,neutral,not toxic
calcifer#cruui, careful b,neutral,not toxic
calcifer#cruui, careful c,neutral,not toxic
kyhianna#1208, carefull,sad,not toxic
Lwyslo#SMN, carry me,sad,not toxic
LNC Herson#ENGR, carry me (agent),neutral,not toxic
Scrix#9697, CCCCC,disgust,not toxic
AXR lampniibarra #RZCT, chad,neutral,not toxic
Jeeeeeelly #Ace, chage game ka nalang ,sad,Gamesplaining
Secrettt#shhh, Change game,disgust,Gamesplaining
ginanon lng aq #ahri, chat is used to communicate and give information about the enemies and to create strategies to outplay them. recently,neutral,Gamesplaining
haru#riee, cheater,sad,MM complaints
Naoki #0704, cheater,anger,MM complaints
Kuraidu #yAah, Cheater,disgust,MM complaints
RAAALD #3685, cheater ka ata eh ang galing mo,happy,not toxic
Lien#0618, cheer up,happy,not toxic
Gavv #domo," cheer up no worries""",happy,not toxic
His Kitten#AWW, cheering me up when clutching,neutral,not toxic
His Kitten#AWW, cheering me up when clutching,neutral,not toxic
Dos #akosi, chill and have fun,happy,not toxic
Daniel Pamilya #4694, city,neutral,not toxic
Hisoka Morrow #0201, close right/left,neutral,not toxic
ZeroTwo#Kneel, clutch and you will get 1k cash,happy,not toxic
Miwa#0710, clutch battle pass oh,happy,not toxic
ray4c#1103, clutch god,happy,not toxic
Nono#doggy, clutch god ah ,happy,not toxic
Giyu#SLYR, clutch or gay,happy,cyberbullying
Zeai#AJMNB, clutch or gay,happy,cyberbullying
BBG chicken#jen, clutch or gay,happy,cyberbullying
HanJ#8528, clutch this,happy,not toxic
Calmpath #9409, Clutched,neutral,not toxic
CE somi#zenin, cock sucker,anger,cyberbullying
DaBoMi#mob1, comeback na this,happy,not toxic
bbkakai #catto, comeback pa,disgust,not toxic
Kenma#Zero, comms,neutral,not toxic
eris #gebb, 'comms',disgust,not toxic
Chicken Adobo#Les, comms ,neutral,not toxic
Maki #chris, comms ,disgust,not toxic
Isumi Tachiii #mpty, comms like in heaven,anger,not toxic
Burakdoy #0911, comms naman,disgust,not toxic
Akira#jig, comms. I haven't encounter being trashtalked through voice chat because enemy team mostly do trashtalking.,neutral,not toxic
Maki #chris, compliments.,neutral,not toxic
PD Jblazeer#lui, computer shop eww,disgust,cyberbullying
Moth #layt, concuss,neutral,not toxic
Spleen#spy, congrats,happy,not toxic
Kenma#mau, Cool,happy,not toxic
baò#huáng, cracked girl,anger,not toxic
chewu#LRRY, cubby bobo,anger,cyberbullying
edwrd #oms, curse word,neutral,cyberbullying
oyasumi#5643, curse words,neutral,cyberbullying
Nikephoros#0000, cursing me with offensive word such as I am fat and useless,anger,cyberbullying
Kuroi_Inu #cmd, Damay magulang,neutral,cyberbullying
Eris#akuma, damn,surprise,not toxic
MiAmoré#zoro, damn,surprise,not toxic
artem1s #LUNA, damn,happy,not toxic
HY Cue#0208, damn bro you're insane!,surprise,not toxic
twirly#eyy, damn it,sad,Gamesplaining
CRZY Sundae #Sweet, damn you so good,surprise,not toxic
0, damn youre good,happy,not toxic
Kagome#BigPP, dapat di ka sa rank na to eh,anger,Gamesplaining
His Kitten#AWW, dapat ginawa mo un or ginawa mo ito,anger,not toxic
Kagome#BigPP, dapat natulog nalang,anger,cyberbullying
ginanon lng aq #ahri, death threats,neutral,cyberbullying
amity#ars, default,neutral,not toxic
Raijin#0829, defuse,neutral,not toxic
Hisoka Morrow #0201, DEFUSE!,anger,not toxic
LapLap Pooh#PLPNS, defusing,anger,not toxic
twirly#eyy, defusing,disgust,not toxic
McDanolds#Coke, Delete mo na game,anger,Gamesplaining
draius #ラファエル, delete mo na valorant mo,anger,Gamesplaining
o7 naevis #nvstr, delete mo na yang valo mo,anger,Gamesplaining
McDanolds#Coke, Delete the game,anger,Gamesplaining
Maema#4541, 'delete ur game',anger,Gamesplaining
0, delete valorant,anger,Gamesplaining
Isumi Tachiii #mpty, depends on what map,neutral,not toxic
Rie Lennox #Ysa, di ka ba marunong maglaro?,anger,RNG complaints
Nitch#0828, di ka ba marunong?,sad,RNG complaints
0, 'di ka ba pinapaglaba ng nanay mo?,anger,RNG complaints
TRB Chimkemn #star, di ka mahal ng mahal mo,sad,cyberbullying
TRB Chimkemn #star, di ka mahal ng mama mo,anger,cyberbullying
PandaBaby #BABY, di ka mahal ng nanay mo,anger,cyberbullying
Itsviiiii #cute, di ka marunong,anger,RNG complaints
RAAALD #3685, di ka na aangat etc.,sad,RNG complaints
Puppyz#5531, Di kaba marunong gago??,anger,RNG complaints
p1nk venom #BLINK, di marunong,anger,RNG complaints
klee#teya, di marunong,anger,RNG complaints
yuzwmiski#euge, di marunong kakampi namin,sad,RNG complaints
Ennaira#saint, di mo narinig yun?,anger,RNG complaints
shobe#hykw, di sanay magentry yung (duelist name),sad,MM complaints
Stratøm#KBand, di tuli,anger,Male preserve
CE somi#zenin, dick,anger,sexism
Vanitas#Enzo, Die,anger,cyberbullying
Psychedelic #kohi, die irl,anger,cyberbullying
Bunchun#7up, diff,disgust,MM complaints
Sloppy Wet Abs #6Pack, Dinked,sad,not toxic
DaBoMi#mob1, dito,neutral,not toxic
bagal #3250, do guys have mic,neutral,not toxic
Scrix#9697, do u have skin?,neutral,not toxic
amity#ars, do you guys have mics,sad,not toxic
Fritzo #esj, dog,neutral,cyberbullying
sujin #9488, dogshit,anger,cyberbullying
Marius#9310, dogshit,anger,cyberbullying
ray4c#1103, dogshit,anger,cyberbullying
AXR lampniibarra #RZCT, don’t worry u’re good,happy,not toxic
amity#ars, dont bait me,sad,not toxic
Isumi Tachiii #mpty, dont blame yourself ,neutral,not toxic
H3CCO2CH2CH3 #ester, dont ever play again,anger,Gamesplaining
Lien#0618, don't give up,happy,not toxic
tinapangtubol#kobe, don't mind,neutral,not toxic
"hello, i dont have a valorant account na since binenta ko sya dahil wala na me nakakalaro pero pinagsisihan din", DONT PEAK,anger,not toxic
LapLap Pooh#PLPNS, don't peek,anger,not toxic
Rirawr#1017, Dont peek!,anger,not toxic
Radyliance#00000, don't play valorant anymore,anger,Gamesplaining
Szakki#szaki, dont play valorant compe,disgust,Gamesplaining
cogie#rei, dont worry,sad,not toxic
DaBoMi#mob1, doon,neutral,not toxic
Sloppy Wet Abs #6Pack, Double Swing,neutral,not toxic
Leeey#2003, downbad moment,sad,RNG complaints
Burakdoy #0911, drone,neutral,not toxic
DaBoMi#mob1, drop skin.,neutral,not toxic
Katsuki#AJKSS, dude your trash just play minecraft instead,anger,Gamesplaining
Naofumi#0721, duelist pa,disgust,sarcasm
2996, dumb,disgust,RNG complaints
NCG Aureeeen #Raiii, dumb,disgust,RNG complaints
Panda#Pondo, dumb,anger,RNG complaints
nabi #bzbzz, dumb,anger,RNG complaints
Kuro#9045, dumb,anger,RNG complaints
