username,chat,sentiment,toxicity
Shizuwu,5,neutral,not toxic
Shizuwu,mid,neutral,not toxic
Shizuwu,waw,surprise,not toxic
Shizuwu,ns,happy,not toxic
Shizuwu,nc,happy,not toxic
Shizuwu,thanks!,happy,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,Bakla,disgust,sexism
Shizuwu,fuck u,anger,cyberbullying
Shizuwu,woah,surprise,not toxic
Shizuwu,suck my dick,disgust,sexism
Shizuwu,amazing,surprise,sarcasm
Shizuwu,thats 1 screenshot,neutral,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,:((,sad,sarcasm
Shizuwu,3v5,neutral,Game complaints
Shizuwu,gg,sad,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,nice game,happy,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,GG,sad,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,g,sad,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,g,sad,not toxic
Shizuwu,XD,happy,not toxic
Shizuwu,lmaooo,disgust,sarcasm
Shizuwu,WHAT THE FUCK,anger,cyberbullying
Shizuwu,HJAHAHASDHFHASD,disgust,not toxic
Shizuwu,XD,happy,not toxic
Shizuwu,gekko is NPC,anger,cyberbullying
Shizuwu,lol ,disgust,sarcasm
Shizuwu,HAHAHAHAH,happy,not toxic
Shizuwu,nt,sad,not toxic
Shizuwu,mb,sad,not toxic
Shizuwu,we blind,neutral,not toxic
Shizuwu,first time playing this map dont bully me :(,sad,gamesplaining
Shizuwu,U SUCK,anger,cyberbullying
Shizuwu,mb,sad,not toxic
Shizuwu,no worries weakshit,disgust,sarcasm
Shawn,now i know na di lang lataki ang toxic sa laro,sad,sexism
Shawn,so what,disgust,sarcasm
Saberu,NT,sad,not toxic
Saberu,ggs,happy,not toxic
Saberu,Ez,disgust,sarcasm
Saberu,bots,disgust,sarcasm
Saberu,:),disgust,sarcasm
Saberu,eZZ WIN,disgust,sarcasm
Saberu,MNOONB,anger,cyberbullying
Saberu,eZZ,disgust,sarcasm
Saberu,NOOB,anger,cyberbullying
Saberu,HAHHA,disgust,not toxic
Saberu,eZZ,disgust,sarcasm
Saberu,WIN,happy,not toxic
Saberu,12 9,neutral,EBR complaints
Saberu,ez,disgust,sarcasm
Saberu,EZ,disgust,sarcasm
Saberu,o touch booobs,disgust,sexism
Saberu,mad cuz bad reyna?,disgust,EBR complaints
Saberu,eZ,disgust,sarcasm
Saberu,gg,sad,not toxic
Saberu,EZZ,disgust,sarcasm
Saberu,NOOB GAY,disgust,sexism
Saberu,gay judge,disgust,sexism
Saberu,:),disgust,sarcasm
Saberu,I GO SHOWERS,neutral,not toxic
Saberu,mad cuz bad?,disgust,cyberbullying
Saberu,i hope you become a jew in auchwitz,anger,racism
Saberu,awww,disgust,sarcasm
Saberu,USE YOUR EYE DUMB ASS,anger,cyberbullying
Saberu,touch some grass,disgust,sarcasm
Saberu,JHAHAH 18 17 7,disgust,EBR complaints
Saberu,touch some boobs,disgust,sexism
Saberu,TALK TOO MUCH,anger,cyberbullying
Saberu,b00bs,disgust,sexism
Saberu,dont cap you never touched grass,disgust,cyberbullying
Saberu,nt,sad,not toxic
Saberu,C,neutral,not toxic
Saberu,NT,sad,not toxic
Saberu,nice dragon,happy,not toxic
Saberu,good skin,happy,not toxic
Saberu,dragon deez nuts on your face,disgust,sexism
Saberu,clutch or gey,disgust,sexism
Saberu,gey gey gey gey gey gey gey gey gey gey gey gey gey,disgust,sexism
Saberu,vovo,anger,cyberbullying
Saberu,gg,sad,not toxic
Saberu,mga tng4,anger,cyberbullying
Saberu,gg,sad,not toxic
Saberu,yeah it was bad,sad,not toxic
Saberu,nt tho,sad,not toxic
Saberu,nt dog,disgust,sarcasm
Saberu,bro*,neutral,not toxic
Saberu,thanks for being supportive,happy,not toxic
Saberu,entry duelist,sad,rng complaints
Saberu,i dont like u,sad,Game complaints
Saberu,only knew how to entry,disgust,rng complaints
Saberu,no brain,anger,cyberbullying
Saberu,then dead,disgust,cyberbullying
Saberu,dont bark viper,anger,EBR complaints
Saberu,entry frags where,disgust,blaming others
Saberu,wtf,anger,cyberbullying
Saberu,use ur brain pls,anger,sarcasm
Saberu,no info,sad,EBR complaints
Saberu,so go a,anger,EBR complaints
Saberu,u knew no info,disgust,Game complaints
Saberu,ow,neutral,not toxic
Saberu,no brain,disgust,sarcasm
Saberu,yeah and u would have known no?,disgust,sarcasm
Onikku,sorry na raze wag ka na iyak,disgust,sarcasm
Onikku,HAHAHAHAHAH,disgust,not toxic
Onikku,DONTCHU WORRY MY GUY,happy,not toxic
Onikku,I GOTCHU,happy,not toxic
Onikku,hayop,anger,cyberbullying
Onikku,HAHAHAHA,disgust,not toxic
Onikku,DAPA,anger,cyberbullying
Onikku,OK?,disgust,sarcasm
Onikku,chambalero ampota,anger,cyberbullying
Onikku,?,disgust,sarcasm
Onikku,report cheater,sad,Game complaints
Onikku,why headshot in bronz,sad,EBR complaints
Onikku,yes report me,sad,rng complaints
Onikku,LOL,disgust,sarcasm
Onikku,LOL,disgust,sarcasm
Onikku,MAMA MO LOL,anger,cyberbullying
Onikku,+5 gaming,neutral,not toxic
neverland,reyna dont crouch,disgust,male preserve
neverland,he aint a mind reader tho,anger,sarcasm
neverland,i thought you would smoke there,disgust,not toxic
neverland,the animation was ongoing,anger,not toxic
neverland,mic is easy to press,anger,sarcasm
neverland,but why,anger,not toxic
neverland,what if we all mid,neutral,not toxic
neverland,we win,happy,not toxic
neverland,mb,sad,not toxic
neverland,gg,happy,not toxic
neverland,nt,sad,not toxic
neverland,nt,sad,not toxic
neverland,Gg,happy,not toxic
neverland,nc,happy,not toxic
neverland,nc,happy,not toxic
neverland,we win,happy,not toxic
neverland,nc,happy,not toxic
neverland,nc,happy,not toxic
neverland,odin,surprise,rng complaints
neverland,120,sad,not toxic
neverland,ODIN YARN,anger,EBR complaints
neverland,NT,sad,not toxic
neverland,IHAHAHAHA',happy,not toxic
neverland,HAGHAAHAHAHAHAHA,happy,not toxic
neverland,UMIYAK,happy,cyberbullying
neverland,AHAHAHAHAHHA,happy,not toxic
neverland,LT,happy,not toxic
neverland,malakas daw sa trashtalkan,anger,cyberbullying
neverland,tapos umiyak,anger,cyberbullying
neverland,nagquit ampota,happy,cyberbullying
neverland,WAL AKA NA TUTOK,anger,EBR complaints
neverland,BOBO,anger,cyberbullying
neverland,BOBO\,anger,cyberbullying
neverland,kahit walang tutok,sad,not toxic
neverland,okay lang may util,sad,not toxic
neverland,nt,sad,not toxic
neverland,REYNA MID,anger,not toxic
neverland,left side,neutral,not toxic
neverland,sabing blingd,anger,male preserve
neverland,wala bobo yan,neutral,cyberbullying
neverland,1st round panalo pero umiiyak,happy,EBR complaints
neverland,AHAHAHAHAHHA,happy,not toxic
neverland,nc,disgust,not toxic
neverland,ggs,sad,not toxic
neverland,yan,neutral,not toxic
neverland,ggs,sad,not toxic
neverland,gg,sad,not toxic
neverland,g,neutral,not toxic
neverland,SAN NA MIC MO,anger,not toxic
neverland,CORNT,sad,not toxic
neverland,la ka bayag pang mic,anger,sexism
Maiokni,gg,happy,not toxic
Maiokni,NAPAKA BOBO MO SOVBA,anger,cyberbullying
machu,fuck nigger,anger,racism
machu,man zax is muted HAHAHA,happy,not toxic
machu,omen?,surprise,blaming others
machu,raze always use 1 way entry?,surprise,sarcasm
machu,u still died?,surprise,sarcasm
machu,nc,happy,not toxic
machu,ily,happy,not toxic
machu,nt,happy,not toxic
machu,artinya apa bang messi?,disgust,not toxic
machu,artinya apa bang messi?>,disgust,not toxic
machu,sad,disgust,sarcasm
machu,caoo ni maaa,disgust,not toxic
machu,sawadikap,neutral,not toxic
machu,NT,happy,not toxic
machu,omen -80,neutral,not toxic
machu,nt nt,happy,not toxic
machu,mr 4k,disgust,not toxic
machu,HOY PUTANGINA NIYO KUNG MAGLARO KAYO GALINGAN NIYO NAMAN KAYA NGA MAY DEATHM CH AT THE RANGE EH PERO MERON DIN NAMAN ML MAS ï¿½Y KAYO DUN MGA LOW IO MGA TANGA EZ GAME SOBRA LANG AKO PINAWISAN MAS PAPAWISAN PA AKO MAG TETRIS SA INYO EH NAPAKATANGA NIYO PROMISE LIPAT ML NO OR PEDE NAMAN CODM DATING APP MGA BOBO DUN KAYO WAG KAYO DITO. UNINSTALL NIYO NA YANG VALORANT NIYO OR PALARO NIYO SA UGA KUYA NIYO TAPOS PM NIYO KO PUSTAHAN AGAD. MAY GATAS PA KAYO SA LABI MGA TANGA PANG LOL LARO NIYO EH. KAYA NGA MAY GINAWA YUNG SPIKE RUSH PARA SA MGA TULLAD NIYONG ATABS PA KAYO TUMUTUTOK PUTANGINA NIYO.,anger,cyberbullying
machu,gg,happy,not toxic
machu,gg,neutral,not toxic
machu,gg,sad,not toxic
machu,ggs,happy,not toxic
machu,GG,happy,not toxic
machu,thanks for accept,happy,not toxic
machu,god blessss,happy,not toxic
machu,sure!! HAHA fun playing w u. God bless u also <3,happy,not toxic
machu,welcome always,happy,not toxic
machu,wanna join us,happy,not toxic
machu,agent roulette,neutral,RNG complaints
machu,im just being freindly for other player like you so kind,happy,not toxic
Kuroboshi,bobo,anger,cyberbullying
Kuroboshi,bobo,anger,cyberbullying
Kuroboshi,bobo,anger,cyberbullying
Kuroboshi,BOBO,anger,cyberbullying
Kuroboshi,BOBO,anger,cyberbullying
Kana,dont peek mid door,neutral,not toxic
Kana,...,disgust,not toxic
Kana,save,neutral,not toxic
Kana,GG,sad,not toxic
Kana,GG,sad,not toxic
Kana,gg,happy,not toxic
Kana,...,disgust,not toxic
Kana,..,disgust,not toxic
Kana,cool new map,happy,not toxic
Kana,KJ?,disgust,blaming others
Kana,1k ping,sad,not toxic
Kana,1k ping,disgust,not toxic
Kana,WAIT,anger,not toxic
Kana,yeah lol,happy,sarcasm
Kana,?,disgust,sarcasm
Kana,HTF U MISS ALL,surprise,blaming others
Kana,gg,sad,not toxic
Kana,GG,sad,not toxic
Kana,GG,happy,not toxic
Kana,sadd,sad,sarcasm
Kana,ggs,sad,not toxic
Kana,gg noob sova,happy,cyberbullying
Kana,gg,happy,not toxic
Kana,nobs,happy,cyberbullying
Kana,always fuckingg wanting to go for more,anger,cyberbullying
Kana,what,anger,not toxic
Kana,HAHAH,happy,not toxic
Kana,y u mad bro,neutral,cyberbullying
Kana,u whiffed,anger,sarcasm
Kana,2v1,neutral,not toxic
Kana,you died,neutral,blaming others
Kana,HALA,disgust,not toxic
Kana,report jett,anger,EBR complaints
Kana,why tho,neutral,not toxic
Kana,gg,happy,not toxic
Kana,EZ,happy,sarcasm
Kana,gg,sad,not toxic
Kana,drone,neutral,not toxic
Kana,1 tree,neutral,not toxic
Kana,80 KJ,neutral,not toxic
Kana,obv fake,disgust,not toxic
Kana,idk,sad,not toxic
Kana,OK?,surprise,sarcasm
Kana,SORRY,sad,not toxic
Kana,ggs,happy,not toxic
Kana,GG,happy,not toxic
Kana,gg,neutral,not toxic
Kana,WEAK,happy,cyberbullying
Kana,WEAK,happy,cyberbullying
Kana,wEAK,happy,cyberbullying
Kana,wEKa,happy,cyberbullying
Kana,awKEA,happy,cyberbullying
Jayx,nt,sad,not toxic
Jayx,nt,sad,not toxic
Jayx,ggs,sad,not toxic
Jayx,gg,happy,not toxic
Jayx,ggez,happy,sarcasm
Jayx,GG,happy,not toxic
Jayx,Ggs,happy,not toxic
Jayx,no challenge,disgust,sarcasm
Jayx,lol u suck reyna,disgust,cyberbullying
Jayx,both ya,disgust,not toxic
Jayx,wp,happy,not toxic
Jayx,raze unknown,neutral,not toxic
Jayx,last seen b site,neutral,not toxic
Jayx,nice,happy,not toxic
Jayx,ggs,happy,not toxic
Jayx,ggs,happy,not toxic
Jayx,ggs,sad,not toxic
Jayx,gg,sad,not toxic
Jayx,ggez,happy,sarcasm
Jayx,GG,neutral,not toxic
Jayx,Ggs,neutral,not toxic
Jayx,no challenge,disgust,sarcasm
Jayx,with judge,disgust,rng complaints
Jayx,wD,neutral,not toxic
Jayx,WD,neutral,not toxic
Jayx,WB,neutral,not toxic
Jayx,nt,happy,not toxic
Jayx,ggs,happy,not toxic
Jayx,nice g!! ^^ twitch.tv/janniechandesu,happy,not toxic
Jayx,Ggs,happy,not toxic
Jayx,A,happy,not toxic
Jayx,GGS,happy,not toxic
Jayx,gg,happy,not toxic
Jayx,gg,happy,not toxic
Jayx,no,anger,not toxic
Jayx,save,anger,not toxic
Jayx,hah,surprise,not toxic
Jayx,hahtdog,anger,sarcasm
Jayx,;-;,sad,not toxic
Jayx,GG!,happy,not toxic
Jayx,SUNOG?,anger,sarcasm
Jayx,gg,happy,not toxic
Jayx,Ez,anger,sarcasm
Jayx,GGWP,happy,not toxic
Jayx,ggs,happy,not toxic
Jayx,sunog pala ih,anger,cyberbullying
Jayx,nice g!! ^^ twitch.tv/janniechandesu,happy,not toxic
Jayx,ggez,disgust,sarcasm
Jayx,ggz,disgust,sarcasm
Jayx,ez 11-13 lol,disgust,sarcasm
Jayx,it's joever,anger,not toxic
Jayx,gg,anger,not toxic
Jayx,Bro,anger,not toxic
Jayx,u blind,anger,sarcasm
Jayx,brah,anger,sarcasm
Jayx,gg,anger,not toxic
Jayx,gegz,disgust,sarcasm
Jayx,kulang ka sa buwan reyna,anger,ageism
Jape,ga,neutral,not toxic
Jape,report raze,anger,EBR complaints
Jape,sasalita raze tangnia sobrang tanga naman,anger,cyberbullying
Jape,LOSE,anger,cyberbullying
Jape,nahu and jett do your own thing,anger,male preserve
Jape,we just assist,disgust,not toxic
Jape,ha,disgust,not toxic
Jape,this raze,disgust,sarcasm
Jape,HAHAHAHAHAHA,happy,not toxic
Jape,Omen NEEDS HEALING at Mid Top,neutral,not toxic
Jape,Omen spotted Stinger in Mid Catwalk,neutral,not toxic
Jape,Spam nyo yan haha,happy,EBR complaints
Jape,spam report,anger,EBR complaints
Jape,report raze ty,anger,EBR complaints
Jape,NO,sad,not toxic
Jape,HE SO GOOD,happy,not toxic
Jape,GG,happy,not toxic
Jape,gg,happy,not toxic
Jape,k u jett,happy,cyberbullying
Jape,rep nyo raze namin,anger,sarcasm
Jape,subo titi ko,anger,male preserve
Jape,bugo haha,happy,cyberbullying
Jape,ulul d moko mapatay kahit kelan tnigan mo,anger,cyberbullying
Jape,gg,sad,not toxic
Jape,u have talent learning tagalog bro,happy,not toxic
Jape,Drop vandal mid. ty,neutral,not toxic
Jape,I believe he can win,neutral,not toxic
Jape,Fade signals DANGER near B Rafters,neutral,not toxic
Jape,orelnt lose this guys,sad,cyberbullying
Jape,please guys dont fight,sad,not toxic
Jape,diff,sad,cyberbullying
Jape,??,disgust,sarcasm
Jape,?,disgust,sarcasm
Jape,LINK?,disgust,not toxic
Jape,coward bitch,anger,sexism
Jape,kk,neutral,not toxic
Jape,more,neutral,not toxic
Jape,hey u cant outduel me,anger,male preserve
Jape,so stfu,anger,cyberbullying
Jape,xd,happy,not toxic
Jape,giving u stressfull makes us happy,happy,cyberbullying
Jape,see,happy,sarcasm
Jape,hahaha,happy,not toxic
Jape,bro im good,happy,not toxic
Jape,hahahahahaha,happy,not toxic
Jape,u hard stuck ascendant,happy,EBR complaints
Jape,how r u guys losing with this kind of situation,surprise,rng complaints
Jape,I have 6 sova wtf do u mean?,disgust,cyberbullying
Jape,im happy for u <3,happy,not toxic
Jape,ty,happy,not toxic
Jape,Jett NEEDS HELP at A Lobby,neutral,not toxic
Jape,lol,happy,not toxic
Jape,good,happy,not toxic
Jape,yoru,neutral,not toxic
Jape,kahit lima pa kayo putangina nyo,anger,cyberbullying
Jape,BACK KAYO NOH,happy,cyberbullying
Jape,MALAMANG NANJAN AKO,happy,cyberbullying
Jape,KAY/O spotted multiple ENEMIES in C,neutral,not toxic
Jape,??,disgust,sarcasm
Jape,YUN AN YUN PUTANG AIMO,anger,cyberbullying
Jape,KAHIT MAG SAMA PA DALAWANG BOT FROG NYO,anger,cyberbullying
Jape,KULANG PA KILLS NYO. 10  + 10,anger,cyberbullying
Jape,galingmo math ah,sad,sarcasm
Jape,OMCM KAYA MALAKAS AKO MAG VALO,happy,cyberbullying
Jape,BAKA GEN MATH K P LANG NGAOYN AH?,disgust,cyberbullying
Jape,WAG KAYO AATRAS AH NASA  A AKO,anger,cyberbullying
Jape,??,disgust,sarcasm
Jape,PTUJ ANGIA NYMOWD,anger,cyberbullying
Jape,AMMATAY KNA PUTANIG NAMOKA,anger,cyberbullying
Jape,AMBOBO NYO GOAG,anger,cyberbullying
Jape,tangian ymo,anger,cyberbullying
Jape,bob king aimo,anger,cyberbullying
Jape,TANGIAN MO,anger,cyberbullying
Jape,WALA KAP ASA KALAHATI KO KINGA IMO,anger,cyberbullying
Jape,BIGGEST ACHIEVEMENT MO TOL?,anger,sarcasm
Jape,MAPATAY AKO,anger,cyberbullying
Jape,pukingn iyn,anger,cyberbullying
Jape,MGA BOBO,anger,cyberbullying
Jape,ONTUTI,anger,sexism
Jape,TARNATOD,anger,cyberbullying
Jape,GAGO,anger,cyberbullying
Jape,tangina mga basura,anger,cyberbullying
Jape,AHHAHAH,happy,not toxic
Jape,mamatay na nanya nyo,anger,cyberbullying
Jape,salita,sad,cyberbullying
Jape,tanig nayni,anger,cyberbullying
Jape,mga basura,anger,cyberbullying
Jape,HANGAL,anger,cyberbullying
Jape,ulollllllllll,sad,cyberbullying
Jape,GJ,happy,not toxic
Jape,REYNA CLUTCH,neutral,not toxic
Jape,HAHAHAH,happy,not toxic
Jape,HAHAH,happy,not toxic
Jape,WHAHHAAHWHAW,happy,not toxic
Jape,hahahaha,happy,not toxic
Jape,HAHAHAHAHA,happy,not toxic
Jape,REYNA US SLIDING,happy,blaming others
Jape,1v1,sad,not toxic
neverland,same,neutral,not toxic
neverland,PERO NAMAN TALUNAN KATULAD NIYO,anger,cyberbullying
neverland,di lang cringe ign,anger,ableism
neverland,pero pangit naman kayo,anger,ableism
neverland,sad,sad,sarcasm
neverland,D MABUHAT?,happy,sarcasm
neverland,HAHAHAHAHA,happy,not toxic
neverland,aw,sad,not toxic
neverland,hugu CAN YOU BLIND SITE OMEN ,anger,male preserve
neverland,diba pwedeing isa lang mayari neto hhaha,anger,sarcasm
neverland,bitter ka masyado,anger,cyberbullying
neverland,bakit ako maiinggit,anger,not toxic
neverland,pikit ka pangit,anger,ableism
neverland,surrender,anger,sarcasm
neverland,feeling amp,anger,cyberbullying
neverland,IYAK KA NA?,anger,cyberbullying
neverland,ggs,sad,sarcasm
neverland,Ez,happy,sarcasm
neverland,HAHAHAHAHA,happy,not toxic
neverland,sana ikaw nagtanim,anger,sarcasm
neverland,tangha ka pala cypher,anger,cyberbullying
neverland,KANONA KOPA KINIUHA YAN BOBO,anger,cyberbullying
neverland,e bat mo knha spike,neutral,rng complaints
neverland,LUMALANDI PA SA MAIN AMP,anger,cyberbullying
neverland,tapos isisisi mo sa iba pag nagreklamo,anger,blaming others
neverland,120 kj,neutral,not toxic
neverland,tf,surprise,cyberbullying
neverland,rotating,neutral,not toxic
neverland,TF TF,surprise,cyberbullying
neverland,WHY PUSHING CYP?,anger,blaming others
neverland,cute potelk,happy,not toxic
neverland,sama kay ong harbor,anger,not toxic
neverland,parehas bobo,disgust,cyberbullying
neverland,?,disgust,sarcasm
neverland,oh,surprise,sarcasm
neverland,OH?,anger,sarcasm
neverland,TAPOS?,neutral,sarcasm
neverland,feeling magaling kasi top fra,anger,EBR complaints
neverland,ikaw ba yun,happy,not toxic
neverland,hahahaaha,happy,not toxic
neverland,ggs,happy,not toxic
neverland,in,neutral,not toxic
neverland,bobo amp,anger,cyberbullying
neverland,kahit mag br kapa,anger,sarcasm
neverland,bobo ka ,anger,cyberbullying
neverland,feeling amp,anger,cyberbullying
neverland,hinihintay e rorotate palang patay na kayo,anger,blaming others
neverland,bobo ka,anger,cyberbullying
neverland,hahaha,happy,not toxic
neverland,odin user daw a,disgust,rng complaints
neverland,aji,neutral,not toxic
neverland,never pa naman ako nag odin,happy,rng complaints
neverland,toxci talga,disgust,cyberbullying
neverland,hell,neutral,not toxic
neverland,80,neutral,not toxic
neverland,-124 kay/o,neutral,not toxic
neverland,OH?,neutral,sarcasm
neverland,TAPOS?,neutral,sarcasm
neverland,wala namang trade,disgust,blaming others
neverland,walang teamwork,disgust,blaming others
neverland,bobo,anger,cyberbullying
neverland,HAHAHAH,happy,not toxic
neverland,5v5 t,anger,Game complaints
neverland,??,disgust,sarcasm
neverland,sino kausap mo dyan iyaqq,anger,cyberbullying
neverland,bobo mag set up hahah,happy,cyberbullying
neverland,??,disgust,sarcasm
neverland,lmao,happy,sarcasm
neverland,di naman sila pumupunta sa setup ko,disgust,not toxic
neverland,geez,happy,not toxic
neverland,just 2 on b,neutral,male preserve
neverland,go inside of tower,neutral,not toxic
neverland,tangina mo ka,anger,cyberbullying
neverland,sg na gmait pota,anger,rng complaints
neverland,shotgun na gamit mong gago ka dimo pa mapatama,anger,rng complaints
neverland,odin user,anger,rng complaints
neverland,just dont peek,anger,not toxic
neverland,stay site,anger,not toxic
neverland,tskk,disgust,cyberbullying
neverland,cyy,neutral,not toxic
neverland,NC,happy,not toxic
neverland,tangha k pla e -killjoy,anger,cyberbullying
neverland,*sumugod sa 3*,disgust,sarcasm
neverland,HAHAHAHAHAH,happy,not toxic
neverland,kasi tatlo nasa site ikw lang mag isa engot,anger,cyberbullying
neverland,sabi kasi rotate,anger,blaming others
neverland,tinulungan ka na nga,anger,blaming others
neverland,nasa iyo spike sinugod mo B mag isa,anger,blaming others
neverland,BOBO,anger,cyberbullying
neverland,mindset ba,disgust,sarcasm
neverland,TNGA,anger,cyberbullying
neverland,INUTIL,anger,cyberbullying
