username,chat,is_self,emotion,toxicity
Shizuwu,lol ,,positive,sarcasm
Shizuwu,HAHAHAHAH,,positive,neutral
Shizuwu,nt,,positive,positive
Shizuwu,mb,,positive,positive
Shizuwu,we blind,,neutral,neutral
Shizuwu,first time playing this map dont bully me :(,,negative,Map complaints
Shizuwu,U SUCK,,negative,cyberbullying
Shizuwu,mb,,positive,positive
Shizuwu,no worries weakshit,,negative,sarcasm
Shawn,now i know na di lang lataki ang toxic sa laro,,negative,sexism
Shawn,so what,,negative,sarcasm
Saberu,NT,,positive,positive
Saberu,ggs,,positive,positive
Saberu,Ez,,positive,sarcasm
Saberu,bots,,negative,sarcasm
Saberu,:),,positive,sarcasm
Saberu,eZZ WIN,,negative,sarcasm
Saberu,MNOONB,,negative,cyberbullying
Saberu,eZZ,,positive,sarcasm
Saberu,NOOB,,negative,cyberbullying
Saberu,HAHHA,,positive,positive
Saberu,eZZ,,negative,sarcasm
Saberu,WIN,,positive,positive
Saberu,12 9,,neutral,EBR complaints
Saberu,ez,,negative,sarcasm
Saberu,EZ,,negative,sarcasm
Saberu,o touch booobs,,negative,sexism
Saberu,mad cuz bad reyna?,,negative,EBR complaints
Saberu,eZ,,negative,sarcasm
Saberu,gg,,positive,positive
Saberu,EZZ,,positive,sarcasm
Saberu,NOOB GAY,,negative,sexism
Saberu,gay judge,,negative,sexism
Saberu,:),,positive,sarcasm
Saberu,I GO SHOWERS,,neutral,neutral
Saberu,mad cuz bad?,,negative,cyberbullying
Saberu,i hope you become a jew in auchwitz,,negative,racism
Saberu,awww,,negative,sarcasm
Saberu,USE YOUR EYE DUMB ASS,,negative,cyberbullying
Saberu,touch some grass,,positive,sarcasm
Saberu,JHAHAH 18 17 7,,negative,EBR complaints
Saberu,touch some boobs,,negative,sexism
Saberu,TALK TOO MUCH,,negative,cyberbullying
Saberu,b00bs,,negative,sexism
Saberu,dont cap you never touched grass,,negative,cyberbullying
Saberu,nt,,positive,positive
Saberu,C,,neutral,neutral
Saberu,NT,,positive,positive
Saberu,nice dragon,,positive,positive
Saberu,good skin,,positive,neutral
Saberu,dragon deez nuts on your face,,negative,sexism
Saberu,clutch or gey,,negative,sexism
Saberu,gey gey gey gey gey gey gey gey gey gey gey gey gey,,negative,sexism
Saberu,vovo,,negative,cyberbullying
Saberu,gg,,positive,positive
Saberu,mga tng4,,negative,cyberbullying
Saberu,gg,,positive,positive
Saberu,yeah it was bad,,positive,neutral
Saberu,nt tho,,positive,positive
Saberu,nt dog,,negative,sarcasm
Saberu,bro*,,neutral,neutral
Saberu,thanks for being supportive,,positive,positive
Saberu,entry duelist,,negative,SPG complaints
Saberu,i dont like u,,negative,Game complaints
Saberu,only knew how to entry,,negative,SPG complaints
Saberu,no brain,,negative,cyberbullying
Saberu,then dead,,negative,cyberbullying
Saberu,dont bark viper,,negative,EBR complaints
Saberu,entry frags where,,negative,blaming others
Saberu,wtf,,negative,cyberbullying
Saberu,use ur brain pls,,negative,sarcasm
Saberu,no info,,negative,EBR complaints
Saberu,so go a,,negative,EBR complaints
Saberu,u knew no info,,negative,Game complaints
Saberu,ow,,neutral,neutral
Saberu,no brain,,negative,sarcasm
Saberu,yeah and u would have known no?,,positive,sarcasm
Onikku,sorry na raze wag ka na iyak,,negative,sarcasm
Onikku,HAHAHAHAHAH,,positive,neutral
Onikku,DONTCHU WORRY MY GUY,,positive,positive
Onikku,I GOTCHU,,positive,positive
Onikku,hayop,,negative,cyberbullying
Onikku,HAHAHAHA,,positive,neutral
Onikku,DAPA,,negative,cyberbullying
Onikku,OK?,,negative,sarcasm
Onikku,chambalero ampota,,negative,cyberbullying
Onikku,?,,negative,sarcasm
Onikku,}report cheater,,negative,Game complaints
Onikku,why headshot in bronz,,negative,EBR complaints
Onikku,yes report me,,negative,SPG complaints
Onikku,LOL,,positive,sarcasm
Onikku,LOL,,positive,sarcasm
Onikku,MAMA MO LOL,,negative,cyberbullying
Onikku,+5 gaming,,neutral,neutral
neverland,reyna dont crouch,,negative,male preserve
neverland,he aint a mind reader tho,,neutral,sarcasm
neverland,i thought you would smoke there,,neutral,neutral
neverland,the animation was ongoing,,neutral,neutral
neverland,mic is easy to press,,neutral,sarcasm
neverland,but why,,neutral,neutral
neverland,what if we all mid,,neutral,neutral
neverland,we win,,positive,positive
neverland,mb,,positive,positive
neverland,gg,,positive,positive
neverland,nt,,positive,positive
neverland,nt,,positive,positive
neverland,Gg,,positive,positive
neverland,nc,,positive,positive
neverland,nc,,positive,positive
neverland,we win,,positive,positive
neverland,nc,,positive,positive
neverland,nc,,positive,positive
neverland,odin,,positive,SPG complaints
neverland,120,,neutral,neutral
neverland,ODIN YARN,,neutral,SPG complaints
neverland,NT,,positive,positive
neverland,IHAHAHAHA',,positive,neutral
neverland,HAGHAAHAHAHAHAHA,,positive,neutral
neverland,UMIYAK,,neutral,cyberbullying
neverland,AHAHAHAHAHHA,,positive,neutral
neverland,LT,,positive,neutral
neverland,malakas daw sa trashtalkan,,negative,cyberbullying
neverland,tapos umiyak,,negative,cyberbullying
neverland,nagquit ampota,,negative,cyberbullying
neverland,WAL AKA NA TUTOK,,negative,EBR complaints
neverland,BOBO,,negative,cyberbullying
neverland,BOBO\,,negative,cyberbullying
neverland,kahit walang tutok,,neutral,neutral
neverland,okay lang may util,,positive,positive
neverland,nt,,positive,positive
neverland,REYNA MID,,neutral,neutral
neverland,left side,,neutral,neutral
neverland,sabing blingd,,positive,male preserve
neverland,wala bobo yan,,neutral,cyberbullying
neverland,1st round panalo pero umiiyak,,negative,EBR complaints
neverland,AHAHAHAHAHHA,,positive,neutral
neverland,nc,,positive,positive
neverland,ggs,,positive,positive
neverland,yan,,neutral,neutral
neverland,ggs,,positive,positive
neverland,gg,,positive,positive
neverland,g,,neutral,neutral
neverland,SAN NA MIC MO,,neutral,neutral
neverland,CORNT,,negative,neutral
neverland,la ka bayag pang mic,,negative,sexism
Maiokni,gg,,positive,positive
Maiokni,NAPAKA BOBO MO SOVBA,,negative,cyberbullying
machu,fuck nigger,,negative,racism
machu,man zax is muted HAHAHA,,negative,neutral
machu,omen?,,neutral,blaming others
machu,raze always use 1 way entry?,,negative,sarcasm
machu,u still died?,,negative,sarcasm
machu,nc,,positive,positive
machu,ily,,positive,positive
machu,nt,,positive,positive
machu,artinya apa bang messi?,,negative,neutral
machu,artinya apa bang messi?>,,negative,neutral
machu,sad,,negative,sarcasm
machu,caoo ni maaa,,negative,neutral
machu,sawadikap,,negative,neutral
machu,NT,,negative,positive
machu,omen -80,,neutral,neutral
machu,nt nt,,positive,positive
machu,mr 4k,,negative,neutral
machu,HOY PUTANGINA NIYO KUNG MAGLARO KAYO GALINGAN NIYO NAMAN KAYA NGA MAY DEATHM CH AT THE RANGE EH PERO MERON DIN NAMAN ML MAS �Y KAYO DUN MGA LOW IO MGA TANGA EZ GAME SOBRA LANG AKO PINAWISAN MAS PAPAWISAN PA AKO MAG TETRIS SA INYO EH NAPAKATANGA NIYO PROMISE LIPAT ML NO OR PEDE NAMAN CODM DATING APP MGA BOBO DUN KAYO WAG KAYO DITO. UNINSTALL NIYO NA YANG VALORANT NIYO OR PALARO NIYO SA UGA KUYA NIYO TAPOS PM NIYO KO PUSTAHAN AGAD. MAY GATAS PA KAYO SA LABI MGA TANGA PANG LOL LARO NIYO EH. KAYA NGA MAY GINAWA YUNG SPIKE RUSH PARA SA MGA TULLAD NIYONG ATABS PA KAYO TUMUTUTOK PUTANGINA NIYO.,,negative,cyberbullying
machu,gg,,positive,positive
machu,gg,,positive,positive
machu,gg,,positive,positive
machu,ggs,,positive,positive
machu,GG,,positive,positive
machu,thanks for accept,,positive,positive
machu,god blessss,,positive,positive
machu,sure!! HAHA fun playing w u. God bless u also <3,,positive,positive
machu,welcome always,,positive,positive
machu,wanna join us,,positive,positive
machu,agent roulette,,neutral,RNG complaints
machu,im just being freindly for other player like you so kind,,positive,positive
Kuroboshi,bobo,,negative,cyberbullying
Kuroboshi,bobo,,negative,cyberbullying
Kuroboshi,bobo,,negative,cyberbullying
Kuroboshi,BOBO,,negative,cyberbullying
Kuroboshi,BOBO,,negative,cyberbullying
Kana,dont peek mid door,,neutral,neutral
Kana,...,,negative,neutral
Kana,save,,neutral,neutral
Kana,GG,,positive,positive
Kana,GG,,positive,positive
Kana,gg,,positive,positive
Kana,...,,negative,neutral
Kana,..,,negative,neutral
Kana,cool new map,,positive,positive
Kana,KJ?,,negative,blaming others
Kana,1k ping,,neutral,neutral
Kana,1k ping,,neutral,neutral
Kana,WAIT,,neutral,neutral
Kana,yeah lol,,positive,sarcasm
Kana,?,,negative,sarcasm
Kana,HTF U MISS ALL,,negative,blaming others
Kana,gg,,positive,positive
Kana,GG,,positive,positive
Kana,GG,,positive,positive
Kana,sadd,,negative,sarcasm
Kana,ggs,,positive,positive
Kana,gg noob sova,,negative,cyberbullying
Kana,gg,,positive,positive
Kana,nobs,,negative,cyberbullying
Kana,always fuckingg wanting to go for more,,negative,cyberbullying
Kana,what,,neutral,neutral
Kana,HAHAH,,positive,positive
Kana,y u mad bro,,negative,cyberbullying
Kana,u whiffed,,negative,sarcasm
Kana,2v1,,neutral,neutral
Kana,you died,,neutral,blaming others
Kana,HALA,,negative,neutral
Kana,report jett,,negative,EBR complaints
Kana,why tho,,neutral,neutral
Kana,gg,,positive,positive
Kana,EZ,,negative,sarcasm
Kana,gg,,positive,positive
Kana,drone,,neutral,neutral
Kana,1 tree,,neutral,neutral
Kana,80 KJ,,neutral,neutral
Kana,obv fake,,neutral,neutral
Kana,idk,,neutral,neutral
Kana,OK?,,negative,sarcasm
Kana,SORRY,,negative,positive
Kana,ggs,,positive,positive
Kana,GG,,positive,positive
Kana,gg,,positive,positive
Kana,WEAK,,negative,cyberbullying
Kana,WEAK,,negative,cyberbullying
Kana,wEAK,,negative,cyberbullying
Kana,wEKa,,negative,cyberbullying
Kana,awKEA,,negative,cyberbullying
Jayx,nt,,positive,positive
Jayx,nt,,positive,positive
Jayx,ggs,,positive,positive
Jayx,gg,,positive,positive
Jayx,ggez,,negative,sarcasm
Jayx,GG,,positive,positive
Jayx,Ggs,,positive,positive
Jayx,no challenge,,negative,sarcasm
Jayx,lol u suck reyna,,negative,cyberbullying
Jayx,both ya,,neutral,neutral
Jayx,wp,,positive,positive
Jayx,raze unknown,,neutral,neutral
Jayx,last seen b site,,neutral,neutral
Jayx,nice,,positive,positive
Jayx,ggs,,positive,positive
Jayx,ggs,,positive,positive
Jayx,ggs,,positive,positive
Jayx,gg,,positive,positive
Jayx,ggez,,negative,sarcasm
Jayx,GG,,negative,positive
Jayx,Ggs,,positive,positive
Jayx,no challenge,,negative,sarcasm
Jayx,with judge,,negative,SPG complaints
Jayx,wD,,neutral,neutral
Jayx,WD,,neutral,neutral
Jayx,WB,,neutral,neutral
Jayx,nt,,positive,positive
Jayx,ggs,,positive,positive
Jayx,nice g!! ^^ twitch.tv/janniechandesu,,positive,positive
Jayx,Ggs,,positive,positive
Jayx,A,,neutral,neutral
Jayx,GGS,,positive,positive
Jayx,gg,,positive,positive
Jayx,gg,,positive,positive
Jayx,no,,neutral,neutral
Jayx,save,,neutral,neutral
Jayx,hah,,neutral,neutral
Jayx,hahtdog,,negative,sarcasm
Jayx,;-;,,neutral,neutral
Jayx,GG!,,positive,positive
Jayx,SUNOG?,,negative,sarcasm
Jayx,gg,,positive,positive
Jayx,Ez,,negative,sarcasm
Jayx,GGWP,,positive,positive
Jayx,ggs,,positive,positive
Jayx,sunog pala ih,,negative,cyberbullying
Jayx,nice g!! ^^ twitch.tv/janniechandesu,,positive,positive
Jayx,ggez,,negative,sarcasm
Jayx,ggz,,negative,sarcasm
Jayx,ez 11-13 lol,,negative,sarcasm
Jayx,it's joever,,neutral,neutral
Jayx,gg,,positive,positive
Jayx,Bro,,neutral,neutral
Jayx,u blind,,negative,sarcasm
Jayx,brah,,negative,sarcasm
Jayx,gg,,positive,positive
Jayx,gegz,,negative,sarcasm
Jayx,kulang ka sa buwan reyna,,negative,ageism
Jape,ga,,neutral,neutral
Jape,report raze,,negative,EBR complaints
Jape,sasalita raze tangnia sobrang tanga naman,,negative,cyberbullying
Jape,LOSE,,negative,cyberbullying
Jape,nahu and jett do your own thing,,negative,male preserve
Jape,we just assist,,negative,positive
Jape,ha,,neutral,neutral
Jape,this raze,,negative,sarcasm
Jape,HAHAHAHAHAHA,,positive,positive
Jape,Omen NEEDS HEALING at Mid Top,,neutral,neutral
Jape,Omen spotted Stinger in Mid Catwalk,,neutral,neutral
Jape,Spam nyo yan haha,,negative,EBR complaints
Jape,spam report,,negative,EBR complaints
Jape,report raze ty,,negative,EBR complaints
Jape,NO,,neutral,neutral
Jape,HE SO GOOD,,positive,positive
Jape,GG,,positive,positive
Jape,gg,,positive,positive
Jape,k u jett,,negative,cyberbullying
Jape,rep nyo raze namin,,negative,sarcasm
Jape,subo titi ko,,negative,male preserve
Jape,bugo haha,,negative,cyberbullying
Jape,ulul d moko mapatay kahit kelan tnigan mo,,negative,cyberbullying
Jape,gg,,positive,positive
Jape,u have talent learning tagalog bro,,positive,positive
Jape,Drop vandal mid. ty,,neutral,neutral
Jape,I believe he can win,,positive,positive
Jape,Fade signals DANGER near B Rafters,,neutral,neutral
Jape,orelnt lose this guys,,negative,cyberbullying
Jape,please guys dont fight,,positive,positive
Jape,diff,,negative,cyberbullying
Jape,??,,negative,sarcasm
Jape,?,,negative,sarcasm
Jape,LINK?,,neutral,neutral
Jape,coward bitch,,negative,sexism
Jape,kk,,neutral,neutral
Jape,more,,neutral,neutral
Jape,hey u cant outduel me,,negative,male preserve
Jape,so stfu,,negative,cyberbullying
Jape,xd,,positive,positive
Jape,giving u stressfull makes us happy,,negative,cyberbullying
Jape,see,,negative,sarcasm
Jape,hahaha,,positive,positive
Jape,bro im good,,positive,positive
Jape,hahahahahaha,,positive,positive
Jape,u hard stuck ascendant,,negative,EBR complaints
Jape,how r u guys losing with this kind of situation,,negative,SPG complaints
Jape,I have 6 sova wtf do u mean?,,negative,cyberbullying
Jape,im happy for u <3,,positive,positive
Jape,ty,,positive,positive
Jape,Jett NEEDS HELP at A Lobby,,neutral,neutral
Jape,lol,,positive,positive
Jape,good,,positive,positive
Jape,yoru,,neutral,neutral
Jape,kahit lima pa kayo putangina nyo,,negative,cyberbullying
Jape,BACK KAYO NOH,,negative,cyberbullying
Jape,MALAMANG NANJAN AKO,,negative,cyberbullying
Jape,KAY/O spotted multiple ENEMIES in C,,neutral,neutral
Jape,??,,negative,sarcasm
Jape,YUN AN YUN PUTANG AIMO,,negative,cyberbullying
Jape,KAHIT MAG SAMA PA DALAWANG BOT FROG NYO,,negative,cyberbullying
Jape,KULANG PA KILLS NYO. 10  + 10,,negative,cyberbullying
Jape,galingmo math ah,,negative,sarcasm
Jape,OMCM KAYA MALAKAS AKO MAG VALO,,negative,cyberbullying
Jape,BAKA GEN MATH K P LANG NGAOYN AH?,,negative,cyberbullying
Jape,WAG KAYO AATRAS AH NASA  A AKO,,negative,cyberbullying
Jape,??,,negative,sarcasm
Jape,PTUJ ANGIA NYMOWD,,negative,cyberbullying
Jape,AMMATAY KNA PUTANIG NAMOKA,,negative,cyberbullying
Jape,AMBOBO NYO GOAG,,negative,cyberbullying
Jape,tangian ymo,,negative,cyberbullying
Jape,bob king aimo,,negative,cyberbullying
Jape,TANGIAN MO,,negative,cyberbullying
Jape,WALA KAP ASA KALAHATI KO KINGA IMO,,negative,cyberbullying
Jape,BIGGEST ACHIEVEMENT MO TOL?,,negative,sarcasm
Jape,MAPATAY AKO,,negative,cyberbullying
Jape,pukingn iyn,,negative,cyberbullying
Jape,MGA BOBO,,negative,cyberbullying
Jape,ONTUTI,,negative,sexism
Jape,TARNATOD,,negative,cyberbullying
Jape,GAGO,,negative,cyberbullying
Jape,tangina mga basura,,negative,cyberbullying
Jape,AHHAHAH,,positive,positive
Jape,mamatay na nanya nyo,,negative,cyberbullying
Jape,salita,,negative,cyberbullying
Jape,tanig nayni,,negative,cyberbullying
Jape,mga basura,,negative,cyberbullying
Jape,HANGAL,,negative,cyberbullying
Jape,ulollllllllll,,negative,cyberbullying
Jape,GJ,,positive,positive
Jape,REYNA CLUTCH,,positive,positive
Jape,HAHAHAH,,positive,positive
Jape,HAHAH,,positive,positive
Jape,WHAHHAAHWHAW,,positive,positive
Jape,hahahaha,,positive,positive
Jape,HAHAHAHAHA,,positive,positive
Jape,REYNA US SLIDING,,negative,blaming others
Jape,1v1,,neutral,neutral
neverland,same,,neutral,neutral
neverland,PERO NAMAN TALUNAN KATULAD NIYO,,negative,cyberbullying
neverland,di lang cringe ign,,negative,ableism
neverland,pero pangit naman kayo,,negative,ableism
neverland,sad,,negative,sarcasm
neverland,D MABUHAT?,,negative,sarcasm
neverland,HAHAHAHAHA,,positive,positive
neverland,aw,,neutral,neutral
neverland,hugu CAN YOU BLIND SITE OMEN ,,negative,male preserve
neverland,diba pwedeing isa lang mayari neto hhaha,,negative,sarcasm
neverland,bitter ka masyado,,negative,cyberbullying
neverland,bakit ako maiinggit,,neutral,neutral
neverland,pikit ka pangit,,negative,ableism
neverland,surrender,,negative,sarcasm
neverland,feeling amp,,negative,cyberbullying
neverland,IYAK KA NA?,,negative,cyberbullying
neverland,ggs,,positive,positive
neverland,Ez,,negative,sarcasm
neverland,HAHAHAHAHA,,positive,positive
neverland,sana ikaw nagtanim,,negative,sarcasm
neverland,tangha ka pala cypher,,negative,cyberbullying
neverland,KANONA KOPA KINIUHA YAN BOBO,,negative,cyberbullying
neverland,e bat mo knha spike,,negative,SPG complaints
neverland,LUMALANDI PA SA MAIN AMP,,negative,cyberbullying
neverland,tapos isisisi mo sa iba pag nagreklamo,,negative,blaming others
neverland,120 kj,,neutral,neutral
neverland,tf,,negative,cyberbullying
neverland,rotating,,neutral,neutral
neverland,TF TF,,negative,cyberbullying
neverland,WHY PUSHING CYP?,,negative,blaming others
neverland,cute potelk,,negative,positive
neverland,sama kay ong harbor,,negative,neutral
neverland,parehas bobo,,negative,cyberbullying
neverland,?,,negative,sarcasm
neverland,oh,,negative,sarcasm
neverland,OH?,,negative,sarcasm
neverland,TAPOS?,,negative,sarcasm
neverland,feeling magaling kasi top fra,,negative,EBR complaints
neverland,ikaw ba yun,,neutral,neutral
neverland,hahahaaha,,neutral,neutral
neverland,ggs,,positive,positive
neverland,in,,neutral,neutral
neverland,bobo amp,,negative,cyberbullying
neverland,kahit mag br kapa,,negative,sarcasm
neverland,bobo ka ,,negative,cyberbullying
neverland,feeling amp,,negative,cyberbullying
neverland,hinihintay e rorotate palang patay na kayo,,negative,blaming others
neverland,bobo ka,,negative,cyberbullying
neverland,hahaha,,neutral,neutral
neverland,odin user daw a,,negative,SPG complaints
neverland,aji,,neutral,neutral
neverland,never pa naman ako nag odin,,negative,SPG complaints
neverland,toxci talga,,negative,cyberbullying
neverland,hell,,neutral,neutral
neverland,80,,neutral,neutral
neverland,-124 kay/o,,neutral,neutral
neverland,OH?,,negative,sarcasm
neverland,TAPOS?,,negative,sarcasm
neverland,wala namang trade,,negative,blaming others
neverland,walang teamwork,,negative,blaming others
neverland,bobo,,negative,cyberbullying
neverland,HAHAHAH,,neutral,neutral
neverland,5v5 t,,negative,Game complaints
neverland,??,,negative,sarcasm
neverland,sino kausap mo dyan iyaqq,,negative,cyberbullying
neverland,bobo mag set up hahah,,negative,cyberbullying
neverland,??,,negative,sarcasm
neverland,lmao,,negative,sarcasm
neverland,di naman sila pumupunta sa setup ko,,neutral,neutral
neverland,geez,,neutral,neutral
neverland,just 2 on b,,negative,male preserve
neverland,go inside of tower,,neutral,neutral
neverland,tangina mo ka,,negative,cyberbullying
neverland,sg na gmait pota,,negative,SPG complaints
neverland,shotgun na gamit mong gago ka dimo pa mapatama,,negative,SPG complaints
neverland,odin user,,negative,SPG complaints
neverland,just dont peek,,neutral,neutral
neverland,stay site,,neutral,neutral
neverland,tskk,,negative,cyberbullying
neverland,cyy,,negative,neutral
neverland,NC,,positive,positive
neverland,tangha k pla e -killjoy,,negative,cyberbullying
neverland,*sumugod sa 3*,,negative,sarcasm
neverland,HAHAHAHAHAH,,neutral,neutral
neverland,kasi tatlo nasa site ikw lang mag isa engot,,negative,cyberbullying
neverland,sabi kasi rotate,,negative,blaming others
neverland,tinulungan ka na nga,,negative,blaming others
